Index,Pairname,NCC_Before,NCC_After,NCC_Delta,SSIM_Before,SSIM_After,SSIM_Delta,NCC_HeartROI_Before,NCC_HeartROI_After,NCC_HeartROI_Delta,SSIM_HeartROI_Before,SSIM_HeartROI_After,SSIM_HeartROI_Delta,NCC_LiverROI_Before,NCC_LiverROI_After,NCC_LiverROI_Delta,SSIM_LiverROI_Before,SSIM_LiverROI_After,SSIM_LiverROI_Delta,Dice_Heart_Before,Dice_Heart_After,Dice_Heart_Delta,Dice_Heart_Cov,Dice_Heart_Rec,Dice_Heart_IoU,Dice_Liver_Before,Dice_Liver_After,Dice_Liver_Delta,Dice_Liver_Cov,Dice_Liver_Rec,Dice_Liver_IoU,Min_Jac,N_Foldings,Jac_Neg_Ratio,Method,Phase
0,block5_slice02_phase01,0.8542,0.9555,0.1012,0.9571,0.993,0.0359,0.8481,0.9837,0.1356,0.9738,0.9924,0.0186,0.9762,0.9989,0.0227,0.9267,0.9928,0.066,0.8871,0.94,0.0529,0.928,0.906,0.887,0.9554,0.9857,0.0303,0.976,0.974,0.972,0.195,0,0.0,Baseline,1
1,block5_slice02_phase02,0.6051,0.9308,0.3257,0.8615,0.9798,0.1183,0.7377,0.9733,0.2356,0.9621,0.9945,0.0324,0.8761,0.991,0.1149,0.7844,0.9714,0.1871,0.6107,0.6878,0.0771,0.565,0.538,0.524,0.8871,0.9583,0.0712,0.962,0.94,0.92,-0.5243,617,0.24,Baseline,2
2,block5_slice02_phase03,0.3903,0.8763,0.4861,0.7983,0.9543,0.156,0.5539,0.9274,0.3735,0.9459,0.9905,0.0446,0.7549,0.9683,0.2134,0.6866,0.9275,0.2408,0.5296,0.6374,0.1079,0.512,0.482,0.468,0.8273,0.9519,0.1246,1.037,0.97,0.908,-2.6596,2043,0.78,Baseline,3
3,block5_slice02_phase04,0.305,0.8281,0.5231,0.7776,0.9329,0.1553,0.3212,0.9455,0.6243,0.9091,0.9836,0.0745,0.7125,0.955,0.2425,0.6585,0.8953,0.2368,0.5505,0.6364,0.0859,0.509,0.48,0.467,0.8062,0.9457,0.1395,1.068,0.978,0.897,-2.9912,2572,0.98,Baseline,4
4,block5_slice02_phase05,0.3497,0.857,0.5073,0.7875,0.9447,0.1572,0.4883,0.9237,0.4354,0.9377,0.9887,0.051,0.7304,0.9623,0.2319,0.6709,0.9125,0.2416,0.5244,0.6221,0.0977,0.496,0.465,0.452,0.8151,0.9494,0.1343,1.048,0.972,0.904,-2.7666,2339,0.89,Baseline,5
5,block5_slice02_phase06,0.4382,0.8986,0.4604,0.8098,0.9615,0.1517,0.5838,0.9486,0.3648,0.9432,0.991,0.0478,0.785,0.9729,0.188,0.7058,0.938,0.2322,0.556,0.6487,0.0927,0.517,0.492,0.48,0.8436,0.9484,0.1048,1.01,0.953,0.902,-2.0952,1457,0.56,Baseline,6
6,block5_slice02_phase07,0.5927,0.9296,0.3369,0.8576,0.9784,0.1208,0.6514,0.9672,0.3158,0.9437,0.9888,0.0451,0.8746,0.991,0.1164,0.7818,0.9704,0.1885,0.6467,0.6953,0.0486,0.565,0.544,0.533,0.8873,0.9591,0.0718,0.963,0.941,0.921,-0.5459,649,0.25,Baseline,7
7,block5_slice02_phase08,0.8112,0.9539,0.1426,0.9381,0.9927,0.0546,0.9036,0.9869,0.0833,0.9872,0.9972,0.01,0.9604,0.9981,0.0377,0.8941,0.991,0.0969,0.6851,0.7259,0.0409,0.627,0.591,0.57,0.9413,0.9794,0.0382,0.968,0.964,0.96,0.1521,0,0.0,Baseline,8
8,block5_slice02_phase09,0.9246,0.9622,0.0377,0.987,0.9965,0.0094,0.9551,0.9944,0.0393,0.9911,0.9968,0.0057,0.9944,0.9996,0.0052,0.9777,0.997,0.0193,0.9387,0.9616,0.0229,0.967,0.946,0.926,0.9782,0.9944,0.0162,0.992,0.99,0.989,0.3092,0,0.0,Baseline,9
9,block5_slice03_phase01,0.8204,0.9389,0.1184,0.9537,0.9926,0.0389,0.8064,0.9834,0.177,0.9652,0.9923,0.0271,0.9745,0.9989,0.0244,0.9238,0.9927,0.0689,0.892,0.9586,0.0666,0.951,0.935,0.921,0.9547,0.9858,0.0311,0.974,0.973,0.972,0.2018,0,0.0,Baseline,1
10,block5_slice03_phase02,0.5679,0.9178,0.3499,0.8526,0.9774,0.1248,0.6864,0.9808,0.2944,0.9531,0.9956,0.0424,0.8624,0.9901,0.1276,0.7599,0.9649,0.205,0.5949,0.6841,0.0892,0.55,0.53,0.52,0.886,0.969,0.0829,1.008,0.973,0.94,-1.0452,584,0.22,Baseline,2
11,block5_slice03_phase03,0.3663,0.865,0.4987,0.7938,0.9463,0.1525,0.4413,0.9422,0.5009,0.9356,0.9921,0.0565,0.7317,0.9591,0.2274,0.6613,0.9083,0.247,0.5254,0.634,0.1085,0.517,0.481,0.464,0.8248,0.939,0.1142,1.04,0.958,0.885,-2.6579,1836,0.7,Baseline,3
12,block5_slice03_phase04,0.2908,0.8126,0.5218,0.7774,0.9249,0.1475,0.2165,0.9322,0.7157,0.8972,0.9819,0.0847,0.6921,0.9428,0.2507,0.639,0.8767,0.2377,0.5298,0.6236,0.0938,0.498,0.467,0.453,0.8051,0.9369,0.1318,1.062,0.966,0.881,-2.8764,2487,0.95,Baseline,4
13,block5_slice03_phase05,0.3305,0.8444,0.5139,0.7855,0.937,0.1515,0.3698,0.9395,0.5697,0.9276,0.9907,0.0631,0.7086,0.9523,0.2437,0.6491,0.8946,0.2455,0.5233,0.624,0.1007,0.5,0.468,0.453,0.8138,0.9385,0.1247,1.095,0.983,0.884,-2.5732,2228,0.85,Baseline,5
14,block5_slice03_phase06,0.4068,0.8853,0.4785,0.8031,0.9544,0.1513,0.5019,0.9629,0.461,0.9336,0.993,0.0594,0.7623,0.965,0.2026,0.6777,0.9221,0.2443,0.5498,0.6526,0.1027,0.521,0.496,0.484,0.8411,0.945,0.1039,1.061,0.974,0.896,-2.1515,1328,0.51,Baseline,6
15,block5_slice03_phase07,0.5487,0.9141,0.3653,0.8492,0.9759,0.1267,0.5698,0.9705,0.4006,0.9293,0.9892,0.0599,0.8619,0.99,0.1281,0.759,0.9641,0.2051,0.6283,0.686,0.0577,0.546,0.53,0.522,0.8867,0.9698,0.0831,1.01,0.975,0.941,-1.0167,611,0.23,Baseline,7
16,block5_slice03_phase08,0.7859,0.9368,0.1509,0.9342,0.9919,0.0577,0.896,0.993,0.097,0.9848,0.9984,0.0135,0.9563,0.9981,0.0418,0.8857,0.9902,0.1046,0.6638,0.7129,0.0491,0.61,0.574,0.554,0.94,0.9837,0.0437,0.976,0.972,0.968,0.0493,0,0.0,Baseline,8
17,block5_slice03_phase09,0.8998,0.9458,0.046,0.9857,0.9959,0.0102,0.9418,0.995,0.0532,0.9883,0.9967,0.0084,0.994,0.9996,0.0056,0.9772,0.9965,0.0193,0.9392,0.9719,0.0328,0.992,0.968,0.945,0.9773,0.9934,0.0161,0.989,0.988,0.987,0.3008,0,0.0,Baseline,9
18,block5_slice04_phase01,0.7836,0.9151,0.1315,0.9484,0.9916,0.0432,0.746,0.9736,0.2276,0.954,0.9901,0.0361,0.9722,0.9988,0.0266,0.9166,0.9913,0.0747,0.4641,0.4535,-0.0106,2.913,0.887,0.293,0.9563,0.9912,0.0349,0.991,0.987,0.983,0.2249,0,0.0,Baseline,1
19,block5_slice04_phase02,0.5271,0.8971,0.3699,0.8416,0.9764,0.1349,0.6061,0.9779,0.3717,0.9448,0.995,0.0502,0.8446,0.9898,0.1452,0.7268,0.9609,0.2341,0.4276,0.553,0.1253,1.663,0.736,0.382,0.8869,0.9727,0.0858,1.024,0.984,0.947,-1.3277,522,0.2,Baseline,2
20,block5_slice04_phase03,0.3435,0.8406,0.4971,0.7899,0.9455,0.1556,0.2768,0.9309,0.6541,0.9265,0.9913,0.0648,0.7096,0.9533,0.2437,0.6385,0.9037,0.2652,0.2694,0.501,0.2316,1.553,0.64,0.334,0.8255,0.9403,0.1148,1.05,0.964,0.887,-1.433,1808,0.69,Baseline,3
21,block5_slice04_phase04,0.2839,0.783,0.4991,0.7773,0.9247,0.1474,0.0832,0.885,0.8017,0.8901,0.9776,0.0875,0.6793,0.9359,0.2566,0.6231,0.8735,0.2504,0.2419,0.4938,0.2519,1.447,0.604,0.328,0.8064,0.936,0.1296,1.07,0.969,0.88,-1.4732,2641,1.01,Baseline,4
22,block5_slice04_phase05,0.3142,0.8133,0.4992,0.7842,0.9354,0.1512,0.1993,0.9244,0.7252,0.9183,0.9895,0.0712,0.691,0.9442,0.2532,0.632,0.8878,0.2557,0.244,0.4919,0.248,1.521,0.62,0.326,0.8144,0.9373,0.1228,1.057,0.964,0.882,-1.389,2315,0.88,Baseline,5
23,block5_slice04_phase06,0.3786,0.8634,0.4848,0.7971,0.9543,0.1572,0.3652,0.9542,0.589,0.9251,0.992,0.0669,0.7395,0.9617,0.2222,0.6502,0.9194,0.2692,0.3133,0.5287,0.2154,1.573,0.68,0.359,0.8407,0.942,0.1013,1.04,0.961,0.89,-1.3341,1276,0.49,Baseline,6
24,block5_slice04_phase07,0.5072,0.8917,0.3844,0.8386,0.9747,0.1362,0.4635,0.9605,0.4969,0.9148,0.9864,0.0717,0.8459,0.9898,0.1439,0.7277,0.9606,0.233,0.4176,0.4062,-0.0114,2.766,0.765,0.255,0.8882,0.9737,0.0854,1.024,0.985,0.949,-1.2633,494,0.19,Baseline,7
25,block5_slice04_phase08,0.7537,0.9156,0.1619,0.9269,0.9909,0.064,0.8654,0.992,0.1267,0.9805,0.9985,0.018,0.9503,0.998,0.0477,0.8692,0.9885,0.1193,0.439,0.4116,-0.0274,2.906,0.804,0.259,0.9395,0.9897,0.0502,1.006,0.992,0.98,0.0152,0,0.0,Baseline,8
26,block5_slice04_phase09,0.8721,0.9239,0.0518,0.9839,0.9952,0.0113,0.9213,0.9903,0.069,0.9849,0.9963,0.0113,0.9935,0.9995,0.0059,0.9761,0.9953,0.0193,0.4778,0.4641,-0.0138,2.999,0.928,0.302,0.9791,0.9954,0.0163,0.999,0.995,0.991,0.3317,0,0.0,Baseline,9
27,block5_slice05_phase01,0.7572,0.8979,0.1407,0.9423,0.9904,0.048,0.6733,0.9681,0.2948,0.9405,0.9876,0.0471,0.9686,0.9984,0.0298,0.9051,0.9889,0.0838,0.3492,0.5173,0.1681,2.596,0.93,0.349,0.9581,0.9923,0.0342,0.993,0.989,0.985,0.2134,0,0.0,Baseline,1
