Method,Phase,NCC_After,NCC_Delta,SSIM_After,NCC_HeartROI_After,NCC_LiverROI_After,Dice_Heart_After,Dice_Liver_After,Jac_Neg_Ratio
Baseline,3,0.8032588235294118,0.3955941176470588,0.9475000000000001,0.9069470588235293,0.9562235294117647,0.6739294117647059,0.9048941176470588,1.055294117647059
Baseline,4,0.7457588235294117,0.38618823529411767,0.9213294117647058,0.6972529411764705,0.9335176470588236,0.5471117647058824,0.8898235294117648,1.447058823529412
Baseline,5,0.777364705882353,0.39364117647058827,0.9343470588235294,0.8675,0.9442529411764705,0.6397117647058823,0.8914352941176471,1.2582352941176471
Baseline,6,0.8254411764705882,0.3854,0.9587352941176471,0.925064705882353,0.9672882352941176,0.6942705882352941,0.9087647058823529,0.8547058823529411
MotionFiLM,3,0.7992705882352942,0.39159999999999995,0.9413352941176472,0.8691764705882353,0.940835294117647,0.6631058823529412,0.8961470588235294,0.7270588235294118
MotionFiLM,4,0.7316470588235294,0.37207647058823534,0.9124705882352941,0.6158882352941176,0.9097705882352942,0.5148352941176471,0.8807176470588235,0.9135294117647058
MotionFiLM,5,0.7679941176470588,0.38428823529411765,0.9262647058823529,0.8166764705882352,0.9234529411764706,0.6165764705882353,0.8829764705882353,0.8052941176470588
MotionFiLM,6,0.8253235294117647,0.38530588235294116,0.9554647058823529,0.8844529411764706,0.9572647058823529,0.6766823529411765,0.9024,0.6323529411764706
MultiPhase,3,0.8063294117647059,0.39865882352941173,0.9491529411764706,0.9001705882352941,0.9564470588235293,0.6784588235294118,0.9014058823529412,0.8823529411764706
MultiPhase,4,0.7380823529411764,0.3785,0.9202,0.6386647058823529,0.9306235294117647,0.5294764705882352,0.8845058823529411,1.0652941176470587
MultiPhase,5,0.7756411764705883,0.39193529411764705,0.9346529411764707,0.8583470588235295,0.9428235294117646,0.6494705882352941,0.8874882352941177,0.955294117647059
MultiPhase,6,0.8313470588235293,0.39130588235294117,0.9611411764705883,0.9222705882352941,0.9681117647058822,0.6961705882352941,0.9047470588235295,0.7858823529411765
