Method,Phase,NCC_After,NCC_Delta,SSIM_After,NCC_HeartROI_After,NCC_LiverROI_After,Dice_Heart_After,Dice_Liver_After,Jac_Neg_Ratio
Baseline,1,0.8775058823529411,0.13412941176470589,0.9917647058823529,0.9558,0.9974882352941177,0.8087941176470588,0.9676588235294117,0.027058823529411767
Baseline,2,0.8581647058823529,0.3128941176470588,0.9778941176470589,0.9646470588235294,0.9867411764705882,0.7595000000000001,0.9207588235294119,0.3205882352941177
Baseline,3,0.8032588235294118,0.3955941176470588,0.9475000000000001,0.9069470588235293,0.9562235294117647,0.6739294117647059,0.9048941176470588,1.055294117647059
Baseline,4,0.7457588235294117,0.38618823529411767,0.9213294117647058,0.6972529411764705,0.9335176470588236,0.5471117647058824,0.8898235294117648,1.447058823529412
Baseline,5,0.777364705882353,0.39364117647058827,0.9343470588235294,0.8675,0.9442529411764705,0.6397117647058823,0.8914352941176471,1.2582352941176471
Baseline,6,0.8254411764705882,0.3854,0.9587352941176471,0.925064705882353,0.9672882352941176,0.6942705882352941,0.9087647058823529,0.8547058823529411
Baseline,7,0.853064705882353,0.32037647058823526,0.9758058823529412,0.9068294117647059,0.9865235294117648,0.6974411764705882,0.9199529411764706,0.39294117647058824
Baseline,8,0.8786294117647059,0.16104117647058822,0.9912235294117647,0.9871823529411765,0.9960411764705883,0.7888294117647059,0.9315823529411764,0.007647058823529412
Baseline,9,0.8853882352941177,0.05494117647058823,0.9956,0.9843764705882353,0.9990588235294119,0.8561058823529412,0.9641411764705882,0.00823529411764706
MotionFiLM,1,0.8789235294117647,0.1355705882352941,0.9912588235294116,0.9510470588235294,0.9970176470588236,0.8039235294117647,0.9671117647058823,0.03
MotionFiLM,2,0.8609588235294118,0.31568235294117647,0.977464705882353,0.9525470588235294,0.9842411764705882,0.7499176470588235,0.9166588235294117,0.2788235294117647
MotionFiLM,3,0.7992705882352942,0.39159999999999995,0.9413352941176472,0.8691764705882353,0.940835294117647,0.6631058823529412,0.8961470588235294,0.7270588235294118
MotionFiLM,4,0.7316470588235294,0.37207647058823534,0.9124705882352941,0.6158882352941176,0.9097705882352942,0.5148352941176471,0.8807176470588235,0.9135294117647058
MotionFiLM,5,0.7679941176470588,0.38428823529411765,0.9262647058823529,0.8166764705882352,0.9234529411764706,0.6165764705882353,0.8829764705882353,0.8052941176470588
MotionFiLM,6,0.8253235294117647,0.38530588235294116,0.9554647058823529,0.8844529411764706,0.9572647058823529,0.6766823529411765,0.9024,0.6323529411764706
MotionFiLM,7,0.8553823529411764,0.3227,0.9752647058823529,0.8758941176470588,0.9840529411764706,0.6725058823529412,0.9163705882352942,0.31529411764705884
MotionFiLM,8,0.8803941176470588,0.16281764705882354,0.9910117647058824,0.9889,0.9956294117647059,0.7870823529411765,0.9321176470588235,0.015294117647058824
MotionFiLM,9,0.8860705882352942,0.055623529411764704,0.9949470588235295,0.9870941176470588,0.9986588235294117,0.8594941176470589,0.9624176470588236,0.0058823529411764705
MultiPhase,1,0.8787470588235294,0.1353705882352941,0.9925470588235294,0.9591000000000001,0.9976529411764706,0.8108235294117646,0.9664352941176472,0.04058823529411765
MultiPhase,2,0.8614176470588235,0.31614705882352945,0.9793588235294118,0.9665588235294118,0.9871058823529412,0.7547294117647059,0.9191647058823529,0.3623529411764706
MultiPhase,3,0.8063294117647059,0.39865882352941173,0.9491529411764706,0.9001705882352941,0.9564470588235293,0.6784588235294118,0.9014058823529412,0.8823529411764706
MultiPhase,4,0.7380823529411764,0.3785,0.9202,0.6386647058823529,0.9306235294117647,0.5294764705882352,0.8845058823529411,1.0652941176470587
MultiPhase,5,0.7756411764705883,0.39193529411764705,0.9346529411764707,0.8583470588235295,0.9428235294117646,0.6494705882352941,0.8874882352941177,0.955294117647059
MultiPhase,6,0.8313470588235293,0.39130588235294117,0.9611411764705883,0.9222705882352941,0.9681117647058822,0.6961705882352941,0.9047470588235295,0.7858823529411765
MultiPhase,7,0.8563117647058823,0.3236352941176471,0.9773000000000001,0.9092588235294118,0.986835294117647,0.6956529411764706,0.9184058823529412,0.41
MultiPhase,8,0.8798058823529411,0.16223529411764706,0.9921411764705882,0.9872588235294117,0.9963411764705882,0.7850235294117647,0.931164705882353,0.018823529411764708
MultiPhase,9,0.886264705882353,0.05580588235294118,0.9961764705882352,0.9875882352941178,0.9991470588235293,0.8614470588235295,0.9627882352941176,0.00823529411764706
