Method,Phase,NCC_After,NCC_Delta,SSIM_After,NCC_HeartROI_After,NCC_LiverROI_After,Dice_Heart_After,Dice_Liver_After,Jac_Neg_Ratio
Baseline,3,0.8032588235294118,0.3955941176470588,0.9475000000000001,0.9069470588235293,0.9562235294117647,0.6739294117647059,0.9048941176470588,1.055294117647059
Baseline,4,0.7457588235294117,0.38618823529411767,0.9213294117647058,0.6972529411764705,0.9335176470588236,0.5471117647058824,0.8898235294117648,1.447058823529412
Baseline,5,0.777364705882353,0.39364117647058827,0.9343470588235294,0.8675,0.9442529411764705,0.6397117647058823,0.8914352941176471,1.2582352941176471
Baseline,6,0.8254411764705882,0.3854,0.9587352941176471,0.925064705882353,0.9672882352941176,0.6942705882352941,0.9087647058823529,0.8547058823529411
MotionFiLM,3,0.7612882352941177,0.35361176470588235,0.9291294117647059,0.8028705882352941,0.9391941176470588,0.6460117647058824,0.8986588235294118,1.1588235294117646
MotionFiLM,4,0.6985411764705882,0.33894705882352943,0.9011882352941176,0.5917705882352942,0.9112941176470589,0.5100882352941176,0.8816882352941177,1.5111764705882353
MotionFiLM,5,0.7309176470588234,0.3472235294117647,0.9145117647058824,0.7508117647058823,0.9243,0.5984058823529412,0.8845705882352941,1.3458823529411763
MotionFiLM,6,0.7890705882352942,0.34904117647058824,0.9435,0.8233647058823529,0.9545823529411763,0.6596705882352941,0.9034117647058824,0.9282352941176472
MultiPhase,3,0.7717823529411765,0.36410588235294117,0.9318470588235295,0.8642117647058823,0.9404941176470588,0.6513470588235295,0.8976823529411765,1.4058823529411764
MultiPhase,4,0.7082941176470589,0.3487058823529412,0.9036882352941177,0.6343764705882353,0.9130235294117647,0.5247470588235295,0.8822529411764706,1.821764705882353
MultiPhase,5,0.7427058823529411,0.359,0.9174941176470588,0.8118705882352941,0.9260764705882353,0.6102588235294117,0.8841823529411765,1.6123529411764705
MultiPhase,6,0.7965882352941176,0.35655882352941176,0.9446705882352942,0.8843823529411764,0.9542470588235294,0.6684411764705882,0.9020470588235294,1.1852941176470588
