Method,Phase,NCC_After,NCC_Delta,SSIM_After,NCC_HeartROI_After,NCC_LiverROI_After,Dice_Heart_After,Dice_Liver_After,Jac_Neg_Ratio
Baseline,1,0.8775058823529411,0.13412941176470589,0.9917647058823529,0.9558,0.9974882352941177,0.8087941176470588,0.9676588235294117,0.027058823529411767
Baseline,2,0.8581647058823529,0.3128941176470588,0.9778941176470589,0.9646470588235294,0.9867411764705882,0.7595000000000001,0.9207588235294119,0.3205882352941177
Baseline,3,0.8032588235294118,0.3955941176470588,0.9475000000000001,0.9069470588235293,0.9562235294117647,0.6739294117647059,0.9048941176470588,1.055294117647059
Baseline,4,0.7457588235294117,0.38618823529411767,0.9213294117647058,0.6972529411764705,0.9335176470588236,0.5471117647058824,0.8898235294117648,1.447058823529412
Baseline,5,0.777364705882353,0.39364117647058827,0.9343470588235294,0.8675,0.9442529411764705,0.6397117647058823,0.8914352941176471,1.2582352941176471
Baseline,6,0.8254411764705882,0.3854,0.9587352941176471,0.925064705882353,0.9672882352941176,0.6942705882352941,0.9087647058823529,0.8547058823529411
Baseline,7,0.853064705882353,0.32037647058823526,0.9758058823529412,0.9068294117647059,0.9865235294117648,0.6974411764705882,0.9199529411764706,0.39294117647058824
Baseline,8,0.8786294117647059,0.16104117647058822,0.9912235294117647,0.9871823529411765,0.9960411764705883,0.7888294117647059,0.9315823529411764,0.007647058823529412
Baseline,9,0.8853882352941177,0.05494117647058823,0.9956,0.9843764705882353,0.9990588235294119,0.8561058823529412,0.9641411764705882,0.00823529411764706
MotionFiLM,1,0.8667411764705882,0.12337058823529412,0.987964705882353,0.9316,0.9960235294117648,0.7845235294117647,0.9665235294117648,0.02
MotionFiLM,2,0.8358411764705882,0.29057647058823527,0.9688176470588235,0.9209764705882353,0.9809235294117646,0.7362058823529412,0.9188764705882352,0.3288235294117647
MotionFiLM,3,0.7612882352941177,0.35361176470588235,0.9291294117647059,0.8028705882352941,0.9391941176470588,0.6460117647058824,0.8986588235294118,1.1588235294117646
MotionFiLM,4,0.6985411764705882,0.33894705882352943,0.9011882352941176,0.5917705882352942,0.9112941176470589,0.5100882352941176,0.8816882352941177,1.5111764705882353
MotionFiLM,5,0.7309176470588234,0.3472235294117647,0.9145117647058824,0.7508117647058823,0.9243,0.5984058823529412,0.8845705882352941,1.3458823529411763
MotionFiLM,6,0.7890705882352942,0.34904117647058824,0.9435,0.8233647058823529,0.9545823529411763,0.6596705882352941,0.9034117647058824,0.9282352941176472
MotionFiLM,7,0.8297411764705883,0.2970647058823529,0.9662882352941177,0.8537235294117648,0.9805058823529412,0.6640823529411765,0.9181882352941176,0.37823529411764706
MotionFiLM,8,0.8681,0.1505235294117647,0.9871411764705883,0.9786999999999999,0.9940588235294118,0.7795470588235294,0.9310764705882353,0.010588235294117647
MotionFiLM,9,0.8790705882352942,0.04860588235294118,0.9935705882352941,0.9761411764705883,0.9984352941176472,0.8423176470588235,0.9624764705882352,0.007647058823529412
MultiPhase,1,0.8672294117647059,0.12387058823529411,0.9876882352941178,0.942535294117647,0.9956764705882354,0.7898647058823529,0.9659529411764706,0.036470588235294116
MultiPhase,2,0.8374294117647059,0.29217647058823526,0.9670823529411765,0.9487470588235293,0.9786588235294118,0.7393588235294118,0.9169,0.4594117647058824
MultiPhase,3,0.7717823529411765,0.36410588235294117,0.9318470588235295,0.8642117647058823,0.9404941176470588,0.6513470588235295,0.8976823529411765,1.4058823529411764
MultiPhase,4,0.7082941176470589,0.3487058823529412,0.9036882352941177,0.6343764705882353,0.9130235294117647,0.5247470588235295,0.8822529411764706,1.821764705882353
MultiPhase,5,0.7427058823529411,0.359,0.9174941176470588,0.8118705882352941,0.9260764705882353,0.6102588235294117,0.8841823529411765,1.6123529411764705
MultiPhase,6,0.7965882352941176,0.35655882352941176,0.9446705882352942,0.8843823529411764,0.9542470588235294,0.6684411764705882,0.9020470588235294,1.1852941176470588
MultiPhase,7,0.8313058823529412,0.29863529411764705,0.9644764705882354,0.8866176470588235,0.9780588235294116,0.672329411764706,0.9161117647058824,0.5370588235294117
MultiPhase,8,0.8685058823529411,0.1509235294117647,0.9866470588235294,0.9814352941176471,0.9934705882352941,0.7791411764705882,0.9302764705882353,0.026470588235294117
MultiPhase,9,0.879264705882353,0.04880588235294118,0.9933,0.9786764705882353,0.9982411764705882,0.8427176470588236,0.9619176470588234,0.00823529411764706
