Method,Phase,NCC_After,NCC_Delta,SSIM_After,NCC_HeartROI_After,NCC_LiverROI_After,Dice_Heart_After,Dice_Liver_After,Jac_Neg_Ratio
Baseline,3,0.8032588235294118,0.3955941176470588,0.9475000000000001,0.9069470588235293,0.9562235294117647,0.6739294117647059,0.9048941176470588,1.055294117647059
Baseline,4,0.7457588235294117,0.38618823529411767,0.9213294117647058,0.6972529411764705,0.9335176470588236,0.5471117647058824,0.8898235294117648,1.447058823529412
Baseline,5,0.777364705882353,0.39364117647058827,0.9343470588235294,0.8675,0.9442529411764705,0.6397117647058823,0.8914352941176471,1.2582352941176471
Baseline,6,0.8254411764705882,0.3854,0.9587352941176471,0.925064705882353,0.9672882352941176,0.6942705882352941,0.9087647058823529,0.8547058823529411
MotionFiLM,3,0.7612882352941177,0.35361176470588235,0.9291294117647059,0.8028705882352941,0.9391941176470588,0.6460117647058824,0.8986588235294118,1.1588235294117646
MotionFiLM,4,0.6985411764705882,0.33894705882352943,0.9011882352941176,0.5917705882352942,0.9112941176470589,0.5100882352941176,0.8816882352941177,1.5111764705882353
MotionFiLM,5,0.7309176470588234,0.3472235294117647,0.9145117647058824,0.7508117647058823,0.9243,0.5984058823529412,0.8845705882352941,1.3458823529411763
MotionFiLM,6,0.7890705882352942,0.34904117647058824,0.9435,0.8233647058823529,0.9545823529411763,0.6596705882352941,0.9034117647058824,0.9282352941176472
MultiPhase,3,0.7686529411764705,0.36097647058823534,0.9323529411764706,0.8227529411764706,0.9414588235294117,0.646535294117647,0.8988705882352941,1.2858823529411765
MultiPhase,4,0.7074882352941176,0.34791176470588236,0.9042,0.6016529411764706,0.9127588235294117,0.5093470588235294,0.8824882352941177,1.657058823529412
MultiPhase,5,0.7394882352941177,0.3557941176470588,0.917835294117647,0.7664294117647058,0.9263764705882354,0.5976588235294118,0.8850647058823529,1.4852941176470589
MultiPhase,6,0.7949235294117647,0.35488823529411767,0.9459117647058823,0.8456058823529411,0.9563411764705883,0.6598235294117647,0.9033764705882353,1.0229411764705882
