Method,Phase,NCC_After,NCC_Delta,SSIM_After,SSIM_Delta,NCC_HeartROI_After,NCC_LiverROI_After,SSIM_HeartROI_After,SSIM_LiverROI_After,Dice_Heart_After,Dice_Liver_After,Jac_Neg_Ratio,N_Foldings,Min_Jac
0,3,0.7612882352941177,0.35361176470588235,0.9291294117647059,0.12309999999999999,0.8028705882352941,0.9391941176470588,0.9664764705882353,0.8440470588235295,0.6460117647058824,0.8986588235294118,1.1588235294117646,3036.705882352941,-1.6644941176470587
0,4,0.6985411764705882,0.33894705882352943,0.9011882352941176,0.10760588235294118,0.5917705882352942,0.9112941176470589,0.9447117647058823,0.7850470588235294,0.5100882352941176,0.8816882352941177,1.5111764705882353,3961.0588235294117,-1.8566647058823529
0,5,0.7309176470588234,0.3472235294117647,0.9145117647058824,0.11471764705882352,0.7508117647058823,0.9243,0.9599058823529412,0.8115117647058824,0.5984058823529412,0.8845705882352941,1.3458823529411763,3526.8823529411766,-1.8055764705882353
0,6,0.7890705882352942,0.34904117647058824,0.9435,0.12818235294117647,0.8233647058823529,0.9545823529411763,0.9683117647058824,0.8780941176470588,0.6596705882352941,0.9034117647058824,0.9282352941176472,2434.3529411764707,-1.5535235294117646
012,3,0.7686000000000001,0.36094117647058827,0.9305411764705882,0.12451764705882352,0.824129411764706,0.9399000000000001,0.9685529411764705,0.8448529411764706,0.6478235294117647,0.8976882352941177,1.285294117647059,3367.5882352941176,-1.8098411764705882
012,4,0.706435294117647,0.3468588235294118,0.902035294117647,0.10844705882352941,0.608970588235294,0.9115352941176471,0.9465117647058823,0.7838176470588235,0.5025764705882353,0.8809058823529412,1.7,4455.764705882353,-1.9559647058823528
012,5,0.7392705882352941,0.35555882352941176,0.9157411764705883,0.11594117647058824,0.7720705882352941,0.9248352941176471,0.9618882352941176,0.8113411764705882,0.5989352941176471,0.8836352941176471,1.4982352941176469,3926.9411764705883,-1.8923764705882353
012,6,0.7944058823529412,0.3543823529411765,0.9445058823529412,0.12917058823529412,0.8391117647058824,0.9551058823529411,0.9701470588235294,0.8790235294117648,0.6601117647058823,0.9014176470588235,1.0564705882352943,2769.3529411764707,-1.6324470588235294
013,3,0.7800294117647059,0.37233529411764704,0.9359941176470588,0.12997058823529412,0.8546823529411764,0.9459235294117647,0.9750235294117648,0.8599823529411764,0.6684705882352941,0.9017235294117647,0.9552941176470587,2502.5882352941176,-1.8996411764705883
013,4,0.7146941176470588,0.35512352941176467,0.9078411764705882,0.11425882352941176,0.6274647058823529,0.9207,0.9484529411764706,0.805464705882353,0.5370470588235294,0.8851705882352942,1.288235294117647,3377.8823529411766,-2.1378823529411766
