scale,height,width,stride_y,stride_x,radius,true_dy_feature,true_dx_feature,epe_px,zero_offset_epe_px,epe_gain_vs_zero,argmax_epe_px,pck_4px,pck_8px,confidence,entropy,true_margin,predicted_dy_px,predicted_dx_px,fusion_weight,sample,block,slice,translation,true_dy_px,true_dx_px,timestep,alpha_bar,noise_std,snr
0,128,128,4.0,4.0,3,0.0,2.0,6.125564098358154,8.0,1.8744359016418457,6.261580944061279,0.20569081604480743,0.7962910532951355,0.040143340826034546,0.9526358842849731,-0.014617049135267735,-0.07319177687168121,2.04459547996521,0.003128103446215391,0,2,0,0,0,8,1,0.9969944357872009,0.054823026300990285,331.716232027764
1,64,64,8.0,8.0,3,0.0,1.0,6.523952007293701,8.0,1.4760479927062988,4.563845157623291,0.25127336382865906,0.6530843377113342,0.05826021730899811,0.9089764356613159,0.00350849493406713,0.012438150122761726,3.1280629634857178,0.007912720553576946,0,2,0,0,0,8,1,0.9969944357872009,0.054823026300990285,331.716232027764
2,32,32,16.0,16.0,2,0.0,0.5,8.409469604492188,8.0,-0.4094696044921875,17.16632652282715,0.13532109558582306,0.49770641326904297,0.11576414853334427,0.8803231120109558,-0.03420787304639816,-0.2860412299633026,3.085655689239502,0.017487458884716034,0,2,0,0,0,8,1,0.9969944357872009,0.054823026300990285,331.716232027764
3,16,16,32.0,32.0,1,0.0,0.25,8.64533519744873,8.0,-0.6453351974487305,9.681673049926758,0.07692307978868484,0.442307710647583,0.40456607937812805,0.7170649766921997,0.05298996344208717,0.6400370001792908,1.886046290397644,0.12436874210834503,0,2,0,0,0,8,1,0.9969944357872009,0.054823026300990285,331.716232027764
0,128,128,4.0,4.0,3,0.0,2.0,6.235853672027588,8.0,1.764146327972412,7.180818557739258,0.1957814246416092,0.7631653547286987,0.04951877146959305,0.9459396004676819,-0.04538656771183014,-0.06691349297761917,1.9439870119094849,0.0038251730147749186,0,2,0,0,0,8,5,0.9909166693687439,0.09530650886091728,109.09177586897036
1,64,64,8.0,8.0,3,0.0,1.0,6.5525689125061035,8.0,1.4474310874938965,6.283396244049072,0.24448217451572418,0.6519525051116943,0.05926858261227608,0.9089774489402771,-0.0039488510228693485,0.01689712330698967,3.087636947631836,0.007896694354712963,0,2,0,0,0,8,5,0.9909166693687439,0.09530650886091728,109.09177586897036
2,32,32,16.0,16.0,2,0.0,0.5,8.435688018798828,8.0,-0.4356880187988281,16.48636817932129,0.13532109558582306,0.4931192398071289,0.11270856857299805,0.8852013945579529,-0.030418679118156433,-0.28379642963409424,2.9569129943847656,0.016398446634411812,0,2,0,0,0,8,5,0.9909166693687439,0.09530650886091728,109.09177586897036
3,16,16,32.0,32.0,1,0.0,0.25,8.557324409484863,8.0,-0.5573244094848633,9.92191219329834,0.08653846383094788,0.46153849363327026,0.40049639344215393,0.7226792573928833,0.05221866816282272,0.5702580809593201,1.895450234413147,0.12049829214811325,0,2,0,0,0,8,5,0.9909166693687439,0.09530650886091728,109.09177586897036
0,128,128,4.0,4.0,3,0.0,2.0,6.358000755310059,8.0,1.6419992446899414,7.575868129730225,0.1827576458454132,0.7345696091651917,0.06334614753723145,0.9332138299942017,-0.07955518364906311,-0.057852670550346375,1.8365534543991089,0.005508675239980221,0,2,0,0,0,8,10,0.9831954836845398,0.1296322348625534,58.5078121397637
1,64,64,8.0,8.0,3,0.0,1.0,6.600648880004883,8.0,1.3993511199951172,7.075819492340088,0.24108658730983734,0.6462931632995605,0.06106782704591751,0.9082720875740051,-0.011829395778477192,0.012100355699658394,3.0390501022338867,0.008040258660912514,0,2,0,0,0,8,10,0.9831954836845398,0.1296322348625534,58.5078121397637
2,32,32,16.0,16.0,2,0.0,0.5,8.432549476623535,8.0,-0.43254947662353516,16.225088119506836,0.13532109558582306,0.4862385094165802,0.1091214045882225,0.8911266922950745,-0.026291461661458015,-0.2746477723121643,2.836514472961426,0.015128998085856438,0,2,0,0,0,8,10,0.9831954836845398,0.1296322348625534,58.5078121397637
