step,total,coarse_image,candidate_proxy,candidate_mse,final_image,latent,smooth,bending,jacobian,delta,preserve,gate_bce,gate,utility_target,utility_positive,relative_gain,grad_norm
1,0.1649380475282669,0.15427541732788086,0.0006119726458564401,0.0006119726458564401,0.15427541732788086,0.015360457822680473,0.058243803679943085,67.97531127929688,0.0018890992505475879,0.0,0.0,0.09009478986263275,0.018000001087784767,0.01798621006309986,0.0,0.0,0.0030851312913000584
5,0.17770151793956757,0.1556970328092575,0.0005163277965039015,0.0005163277965039015,0.15569694340229034,0.016894930973649025,0.03753931447863579,59.47023010253906,0.0015983076300472021,1.627870005904697e-05,0.0,0.29569974541664124,0.01801931858062744,0.07219065725803375,0.0460611991584301,-0.0004020181077066809,0.0058967238292098045
10,0.15038400888442993,0.10253438353538513,0.00010700027632992715,0.00010700027632992715,0.10253378003835678,0.0034887243527919054,0.02392009273171425,39.02626037597656,3.627433761721477e-05,3.891078449669294e-05,0.0,0.570207953453064,0.018086539581418037,0.107265904545784,0.0783962681889534,0.001267054583877325,0.01411981601268053
15,0.23300030827522278,0.14336708188056946,0.0002721671189647168,0.0002721671189647168,0.14336612820625305,0.008223697543144226,0.03887204825878143,49.709320068359375,0.0006636538309976459,8.007369615370408e-05,0.0,0.9838545918464661,0.01819104515016079,0.17728087306022644,0.16552734375,-0.00014925209688954055,0.027689171954989433
20,0.2680615186691284,0.09286604076623917,4.268109842087142e-05,4.268109842087142e-05,0.09286393225193024,0.0013262293068692088,0.007680501788854599,15.776056289672852,1.0160663421743266e-08,0.000163264645379968,0.0,1.9000593423843384,0.018364230170845985,0.3177056312561035,0.3099500834941864,0.026476945728063583,0.062134966254234314
25,0.2713412642478943,0.11049123108386993,0.000252330006333068,0.000252330006333068,0.11048556864261627,0.006575643550604582,0.04071236401796341,56.46843338012695,0.0007376886787824333,0.0002929710317403078,0.0,1.6282176971435547,0.018688632175326347,0.26970112323760986,0.2606065571308136,0.005039097275584936,0.06507987529039383
30,0.2897907495498657,0.12881456315517426,0.0005161710432730615,0.0005161710432730615,0.12880782783031464,0.011978136375546455,0.05929514393210411,71.63111877441406,0.0014052781043574214,0.0005104293231852353,0.0,1.5545451641082764,0.019383225589990616,0.26402488350868225,0.2559678852558136,-0.008014030754566193,0.0885276347398758
35,0.2588205337524414,0.11414427310228348,3.135085717076436e-05,3.135085717076436e-05,0.11413465440273285,0.0009920651791617274,0.007186876609921455,14.156414031982422,1.5471076039830223e-05,0.0008653298718854785,0.0,1.6412513256072998,0.02096785046160221,0.2942489683628082,0.287407785654068,-0.08869131654500961,0.15331661701202393
40,0.26062440872192383,0.1067117303609848,0.00033483721199445426,0.00033483721199445426,0.10667949914932251,0.007829107344150543,0.040464580059051514,56.668861389160156,0.00044131872709840536,0.001355749904178083,0.0,1.5417500734329224,0.024896807968616486,0.2714897692203522,0.2638617753982544,-0.05884651467204094,0.26204586029052734
45,0.21001780033111572,0.06737050414085388,0.0008056199876591563,0.0008056199876591563,0.0673423707485199,0.013545270077884197,0.05388636142015457,64.82279205322266,0.0006230792496353388,0.0020585544407367706,0.0,1.238158106803894,0.035706669092178345,0.22693991661071777,0.2195366770029068,-0.1186765804886818,0.40053656697273254
50,0.24100247025489807,0.13856622576713562,0.0005313971196301281,0.0005313971196301281,0.13843072950839996,0.012369253672659397,0.058529146015644073,69.3149185180664,0.0016296575777232647,0.002836966421455145,0.0,0.990392804145813,0.0758478045463562,0.2577437460422516,0.251708984375,-0.33875375986099243,0.618207573890686
55,0.09757744520902634,0.0316995270550251,0.00014791662397328764,0.00014791662397328764,0.03176804259419441,0.0028879407327622175,0.01899443194270134,29.349769592285156,0.00015199958579614758,0.003032240318134427,6.851553916931152e-05,0.6243541240692139,0.25757694244384766,0.21150828897953033,0.203884556889534,-0.4422948360443115,0.10953610390424728
60,0.12304449826478958,0.04190489277243614,0.00032257934799417853,0.00032257934799417853,0.041810162365436554,0.005945610348135233,0.03487224876880646,46.59661102294922,0.0003882155870087445,0.0019412628607824445,0.0,0.712267279624939,0.4537180960178375,0.18491503596305847,0.1768391877412796,-0.13916242122650146,0.9332126975059509
65,0.1798037588596344,0.11450449377298355,0.0002481566334608942,0.0002481566334608942,0.11449946463108063,0.0070799863897264,0.04194273799657822,57.337371826171875,0.0010069210547953844,0.0010086074471473694,0.0,0.6751844882965088,0.32277461886405945,0.23383671045303345,0.2271050363779068,-0.05942201614379883,0.2684589922428131
70,0.2019689828157425,0.15718026459217072,0.00016245414735749364,0.00016245414735749364,0.15717951953411102,0.007456611376255751,0.022688042372465134,34.65980529785156,4.430519402376376e-05,0.0005168439238332212,0.0,0.6403332948684692,0.2352800965309143,0.2574496269226074,0.2495930939912796,-0.015733931213617325,0.17942756414413452
75,0.2005322426557541,0.14639224112033844,0.0003508284571580589,0.0003508284571580589,0.14627400040626526,0.013122359290719032,0.022852327674627304,39.87794494628906,0.00044719784636981785,0.0006068132934160531,0.0,0.6823426485061646,0.30706682801246643,0.3636051416397095,0.3602430522441864,-0.12754589319229126,0.2427094578742981
80,0.13849195837974548,0.05330303683876991,0.0005785544053651392,0.0005785544053651392,0.053261782974004745,0.009942122735083103,0.050274234265089035,62.35577392578125,0.0009135509608313441,0.0008170382352545857,0.0,0.6798892617225647,0.4177810847759247,0.22629430890083313,0.2176649272441864,-0.07172802835702896,0.4262124300003052
85,0.15374717116355896,0.06751392036676407,0.0008456909563392401,0.0008456909563392401,0.06740113347768784,0.013336589559912682,0.05380682647228241,64.80485534667969,0.0006386254681274295,0.0010248608887195587,0.0,0.671718955039978,0.36513230204582214,0.24811993539333344,0.240505650639534,-0.04512569308280945,0.0844220519065857
90,0.16935785114765167,0.12862809002399445,2.981689431180712e-05,2.981689431180712e-05,0.1285305917263031,0.0009568293462507427,0.0072296359576284885,14.2565336227417,1.2995313227293082e-05,0.0013128696009516716,0.0,0.6315054893493652,0.3107075095176697,0.2716336250305176,0.2654893696308136,-0.4313623011112213,0.23429392278194427
95,0.19399166107177734,0.11526969075202942,0.0009454879909753799,0.0009454879909753799,0.11514679342508316,0.016599906608462334,0.0596122145652771,71.70428466796875,0.0009740843088366091,0.0014554217923432589,0.0,0.6524327397346497,0.33331722021102905,0.24418200552463531,0.2368706613779068,-0.08681506663560867,0.11985360831022263
